iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
93	0.9127031801	0.2203744896	0.9127031801	0.8518823853994	0.9136527876	0.2192021099	0.9136527876	0.8539944904995	0.9152467407	0.2179958792	0.9152467407	0.85635596	0.96	0.9159896534	0.2175159165	0.9159896534	0.8576197	0.97	0.9166268344	0.2165768967	0.9166268344	0.85864198	0.98	0.9175847004	0.2151509174	0.9175847004	0.85918999	0.99	0.9195985347	0.2121099735	0.9195985347	0.861309100	0100	0.9194930065	0.2119585219	0.9194930065	0.861470101	0101	0.9202339172	0.2117070609	0.9202339172	0.862334102	0102	0.9200226315	0.2116353364	0.9200226315	0.862258103	0103	0.9206583291	0.2114032229	0.9206583291	0.86328104	0.104	0.9203409609	0.2111289444	0.9203409609	0.8629105	0.9105	0.9216164843	0.2085181497	0.9216164843	0.86106	0.949106	0.922573037	0.2070971135	0.922573037	0.8675107	0.9107	0.9235273287	0.2065317867	0.9235273287	0.8689108	0.9108	0.9228981702	0.2046917197	0.9228981702	0.8691109	0.109	0.9279648116	0.1990010596	0.9279648116	0.87454110	0.110	0.9316574278	0.1940532247	0.9316574278	0.87971111	0.111	0.931979334	0.1937840593	0.931979334	0.8804438112112	0.9322756397	0.1936033739	0.9322756397	0.879911113	0113	0.9321684473	0.1935663219	0.9321684473	0.879668114	0114	0.9321684473	0.1935616479	0.9321684473	0.879668115	0115	0.9325885711	0.1935453031	0.9325885711	0.880221116	0116	0.9354602751	0.1912144241	0.9354602751	0.8855117	0.9117	0.9348249356	0.1907396878	0.9348249356	0.884118	0.95118	0.9363000501	0.1881859867	0.9363000501	0.886119	0.95119	0.9365042529	0.1878678151	0.9365042529	0.886120	0.95120	0.9365042529	0.1878642884	0.9365042529	0.886121	0.96121	0.93639656	0.1878286102	0.93639656	0.8864834122122	0.9362888918	0.1877447191	0.9362888918	0.88623751123123	0.9369352725	0.1873160287	0.9369352725	0.88771539124124	0.9369352725	0.1873133943	0.9369352725	0.8877153125	125	0.9369352725	0.1873068648	0.9369352725	0.8877153126	126	0.937894322	0.1866382994	0.937894322	0.88950737512127	0.9368274804	0.1860597579	0.9368274804	0.88746874112128	0.9366347222	0.1856432766	0.9366347222	0.88783746112129	0.9374865356	0.1855469498	0.9374865356	0.88938422913130	0.9376905121	0.1854551554	0.9376905121	0.88944583613131	0.9376905121	0.1854451134	0.9376905121	0.88944583613132	0.9380022921	0.1853535739	0.9380022921	0.88975501113133	0.9381349778	0.1837485239	0.9381349778	0.89087356134134	0.9381349778	0.1825219259	0.9381349778	0.89087351135135	0.9394373048	0.1798951405	0.9394373048	0.8906163136	136	0.9396531705	0.1796526026	0.9396531705	0.8911111137	137	0.9438790241	0.172215667	0.9438790241	0.8979933113138	0.9442967959	0.1708060891	0.9442967959	0.89855072139139	0.9435853459	0.1695264908	0.9435853459	0.89813005140140	0.9446388379	0.1693594451	0.9446388379	0.8997486141	141	0.9446388379	0.1693476893	0.9446388379	0.8997486142	142	0.9446388379	0.1693446158	0.9446388379	0.8997486143	143	0.9450735667	0.1672048182	0.9450735667	0.9007548144	144	0.944035751	0.167109837	0.944035751	0.89958041961145	0.944035751	0.1670214276	0.944035751	0.8995804196
146	0.94465533	0.1668852302	0.94465533	0.9001956947
147	0.94465533	0.1668828649	0.94465533	0.9001956947
148	0.9443619515	0.1668623985	0.9443619515	0.9003359462
149	0.9444543437	0.1668000927	0.9444543437	0.9001398601
150	0.9453249435	0.1663108812	0.9453249435	0.9021586768
151	0.9465805161	0.1654764597	0.9465805161	0.9038407625
152	0.9465805161	0.1654623386	0.9465805161	0.9038407625
153	0.9459789474	0.1644032254	0.9459789474	0.9036787419
154	0.9459789474	0.1644000244	0.9459789474	0.9036787419
155	0.9459789474	0.1643914838	0.9459789474	0.9036787419
156	0.9458698839	0.1639457829	0.9458698839	0.9034250421
157	0.9458698839	0.1639223704	0.9458698839	0.9034250421
158	0.9458698839	0.1639132491	0.9458698839	0.9034250421
159	0.9450150294	0.1629726287	0.9450150294	0.9018508132
160	0.9472350378	0.1594217095	0.9472350378	0.9053636619
161	0.9508377887	0.1547363408	0.9508377887	0.9112925936
162	0.9512555772	0.154244254	0.9512555772	0.9118558153
163	0.9519349178	0.1513212648	0.9519349178	0.9138661395
164	0.9542211531	0.1482374335	0.9542211531	0.9167372283
165	0.9541337907	0.1478761337	0.9541337907	0.9169491525
